IndustryCode,InternalRating,LoanAmount,OutstandingBalance,OriginationDate,MaturityDate,CreditFacilityType,AML_Flag,FraudRiskScore,KYC_ComplianceScore,SanctionsCheckFlag,ExposureLimitBreached,FlaggedReason,RemediationAction
0,0,1748442,1532712,2020-12-25,2034-05-18,2,0,2,65,0,0,5,4
0,6,5691176,3206727,2022-05-26,2034-04-04,0,0,4,81,0,0,5,4
2,4,9742651,5139042,2023-10-23,2030-06-06,1,0,10,91,0,0,5,4
4,3,5755001,4675423,2020-05-07,2032-09-19,3,0,7,61,0,0,1,0
0,7,3460813,362364,2025-03-09,2033-03-03,0,0,2,86,0,0,5,4
1,5,9798576,6007527,2023-03-11,2035-01-07,2,0,6,65,0,0,1,3
5,5,3143491,3018215,2021-03-24,2029-04-26,2,0,3,50,0,0,1,0
5,0,3632197,146872,2024-02-01,2026-11-06,2,0,5,53,0,0,5,4
5,0,9724582,6520593,2020-08-18,2028-12-09,3,0,4,65,0,0,0,0
5,3,321234,234340,2021-03-09,2032-12-16,1,0,7,67,0,0,5,4
2,5,6384695,5125434,2020-07-14,2027-09-13,2,0,3,98,0,0,5,4
5,5,5827717,61751,2023-04-07,2026-11-10,3,0,3,56,0,1,5,4
4,7,4770502,284473,2022-11-01,2031-01-30,1,0,8,97,0,0,0,3
3,4,5063724,4475466,2022-08-06,2029-09-22,2,0,10,96,0,0,2,1
5,1,6922218,312083,2022-06-15,2025-09-30,3,1,5,69,0,0,5,4
4,0,6956506,1857707,2024-09-22,2026-09-13,2,0,1,90,0,0,5,4
5,0,2689103,2267386,2024-06-19,2031-07-12,0,0,1,78,0,0,5,4
4,1,3657093,3498550,2021-08-25,2027-12-29,0,0,4,71,0,0,5,4
0,6,1197079,1187360,2022-04-08,2031-05-24,2,0,6,50,0,0,3,2
2,7,4180490,1023800,2020-07-06,2025-10-27,2,0,6,100,0,0,3,1
3,4,6570735,2828126,2020-05-17,2028-12-26,0,0,9,69,0,0,3,1
3,0,4358220,4138319,2020-06-22,2026-07-13,1,0,9,67,0,0,5,4
5,6,7516509,1346866,2023-11-24,2031-08-19,3,0,10,80,0,0,3,3
4,4,4205907,346277,2021-01-22,2027-10-22,2,0,5,72,0,1,5,4
5,4,5179554,5011513,2021-12-05,2033-11-04,3,0,3,69,0,0,5,4
3,0,8639992,6001270,2020-11-13,2035-03-18,3,0,7,89,0,0,5,4
3,7,7672159,536841,2024-12-16,2033-12-30,0,0,0,89,0,0,5,4
0,3,1595053,1424228,2022-11-21,2031-05-26,1,0,7,52,0,0,5,4
1,6,6708990,3206875,2021-06-03,2033-11-30,3,0,10,87,0,0,5,4
5,6,7482417,2547896,2024-08-22,2031-10-19,2,0,8,79,0,0,5,4
5,7,7441276,1052105,2021-01-27,2033-11-04,2,0,0,71,0,0,5,4
2,4,4018471,374547,2023-10-21,2030-08-19,1,0,7,74,1,0,1,2
1,3,800343,209832,2020-12-03,2034-01-29,3,0,0,70,0,1,5,4
3,0,9304512,5446215,2024-01-06,2026-06-05,2,0,2,80,0,0,5,4
5,6,7633179,957104,2021-03-19,2033-12-09,3,0,2,67,0,0,5,4
0,3,2275271,2159600,2023-11-21,2029-10-09,2,0,6,54,0,1,3,1
0,6,5141022,814034,2021-12-11,2034-04-14,0,0,0,55,0,0,5,4
0,7,9009089,7995453,2023-04-01,2034-04-06,3,0,9,81,0,0,5,4
2,5,4598873,2834901,2022-11-07,2030-08-19,2,0,0,72,0,0,5,4
2,5,6149034,4441864,2022-01-17,2026-11-23,2,0,10,77,0,0,0,1
3,2,954280,689381,2024-11-09,2032-06-09,3,0,2,75,0,1,5,4
2,4,7427748,1621217,2024-10-07,2031-07-11,1,0,8,80,0,0,5,4
2,0,8077728,7148200,2023-02-28,2031-12-12,2,0,0,70,0,0,0,2
2,3,9639163,2296372,2021-10-19,2027-12-31,0,0,0,83,0,0,3,3
5,3,180498,92468,2025-01-30,2029-11-15,1,0,2,67,0,0,5,4
3,4,6441051,4462978,2022-09-17,2028-12-17,0,0,2,80,0,0,5,4
2,7,9302243,2255063,2023-06-16,2032-06-26,0,0,10,98,0,0,5,4
3,3,8018427,3130528,2024-04-22,2033-07-14,3,0,1,55,0,0,5,4
1,2,3387333,1361460,2021-10-29,2026-07-21,2,1,1,93,0,0,5,4
4,5,1192300,262460,2021-06-18,2030-06-30,0,1,0,60,1,0,5,4
5,3,6663868,866058,2024-11-12,2029-01-21,0,1,1,85,0,0,5,4
3,5,3086870,1228529,2022-07-25,2025-09-05,2,0,1,97,0,0,5,4
3,6,1796636,133200,2022-07-15,2027-06-05,2,0,3,91,0,0,1,0
0,0,997873,415808,2021-09-25,2033-08-31,2,0,0,97,0,0,5,4
2,3,8961128,2476020,2021-06-19,2027-08-06,2,0,9,73,0,0,5,4
5,0,6766146,4559441,2021-06-13,2031-03-02,1,0,9,89,0,0,5,4
5,1,8015568,1038326,2023-12-26,2026-09-02,2,0,6,59,0,1,5,4
5,3,6374685,612881,2025-01-24,2026-02-09,2,0,2,74,0,0,5,4
0,7,3544271,3159139,2021-01-27,2027-01-18,1,0,4,64,0,0,1,0
5,4,3861527,833738,2020-06-17,2028-10-18,3,0,8,60,1,0,4,1
1,0,7167211,6960263,2022-03-21,2025-06-23,3,1,1,74,0,1,5,4
4,5,573086,46588,2020-07-09,2026-08-26,0,1,7,62,0,0,0,2
5,7,8372893,1248499,2023-08-02,2032-11-06,2,0,4,91,0,0,3,1
4,0,3203693,2478668,2023-01-11,2027-11-26,1,0,5,72,0,0,0,3
2,4,4870527,2236704,2024-06-18,2026-04-22,1,0,4,55,0,0,5,4
0,0,8454511,77079,2023-06-19,2034-10-26,1,0,2,78,0,0,5,4
5,6,8551225,8201189,2024-05-30,2034-04-27,2,0,5,60,1,0,5,4
1,0,3853024,2865282,2024-12-27,2026-03-03,3,0,8,74,0,0,5,4
5,6,6261644,5638489,2023-12-25,2032-09-06,1,0,2,55,0,0,5,4
5,3,8824380,2918415,2021-01-22,2029-10-16,3,0,7,52,0,0,5,4
1,4,3408940,889457,2021-09-16,2033-09-29,1,0,4,70,0,0,5,4
2,4,2126523,1409001,2023-10-17,2034-05-31,2,0,1,90,0,0,5,4
1,2,8063027,756203,2021-10-25,2031-04-02,3,0,2,59,0,1,4,2
1,7,164285,15898,2021-12-11,2030-06-19,0,1,2,88,0,0,5,4
2,3,2692662,1429419,2023-06-06,2034-12-13,3,0,2,59,0,0,5,4
0,3,6411744,362642,2024-06-09,2027-06-01,2,0,5,62,0,0,5,4
3,2,3282043,1438285,2021-08-04,2027-02-14,0,0,2,72,0,0,5,4
5,4,6549296,3859565,2022-08-14,2031-08-15,1,0,5,85,0,1,5,4
5,5,4886417,2584697,2023-10-16,2027-07-14,3,0,10,84,0,0,5,4
3,1,2393114,163599,2021-11-08,2030-01-01,0,0,5,91,0,0,5,4
4,7,2758190,2191105,2024-09-14,2030-01-20,3,0,8,99,0,0,1,3
0,5,2443602,260952,2023-12-18,2033-04-07,0,0,9,95,0,0,5,4
3,1,8126886,4148352,2022-08-24,2028-11-24,0,1,6,95,0,0,1,0
4,7,4428505,2256087,2020-10-12,2032-11-20,3,0,10,97,0,1,5,4
3,4,8478247,1451334,2022-11-04,2029-11-19,3,0,2,95,0,0,5,4
4,0,9278279,6795956,2023-12-06,2030-08-27,1,1,9,56,0,0,5,4
0,1,4615091,969769,2025-01-29,2033-04-29,1,0,8,85,0,0,5,4
3,5,508832,360897,2020-06-04,2027-01-13,3,0,7,71,1,0,0,0
4,0,910094,801341,2023-12-19,2032-11-07,3,0,4,64,0,0,3,2
1,6,7746063,4881278,2020-11-14,2033-11-12,2,0,6,82,0,1,0,1
4,2,733329,333760,2020-08-13,2026-03-22,1,0,3,64,0,0,5,4
5,2,4776781,3923549,2023-01-14,2031-06-09,3,0,6,77,0,0,5,4
5,3,2793909,973695,2022-06-15,2035-03-23,3,0,3,62,0,0,5,4
2,0,7869662,7832366,2025-03-03,2030-08-10,3,0,2,51,0,0,0,0
2,0,5268937,1459243,2024-01-16,2032-10-23,2,0,5,67,0,0,5,4
5,0,4802250,2102862,2020-10-29,2027-09-19,1,0,1,80,0,0,5,4
5,5,3400251,491218,2022-11-28,2025-08-06,2,0,2,71,0,0,5,4
5,6,9589959,4675084,2022-07-24,2025-09-21,3,0,6,71,0,0,5,4
1,1,446993,440589,2021-09-19,2028-05-21,2,0,5,73,0,0,5,4
1,4,61079,48169,2023-03-31,2028-02-03,0,0,2,58,0,0,5,4
3,4,281612,88888,2020-04-12,2028-02-02,1,1,9,83,0,0,4,0
2,1,3031047,2332681,2023-09-25,2029-01-22,3,0,2,99,0,0,2,1
1,3,5294330,2316237,2022-04-28,2029-02-28,1,0,7,81,0,0,1,3
0,4,9457891,2844300,2023-04-20,2028-07-09,3,0,0,54,0,0,5,4
4,3,2463695,1021825,2023-10-11,2030-01-26,0,0,5,79,0,0,4,2
4,4,6769344,4393166,2023-10-13,2027-01-20,1,1,5,50,0,0,5,4
2,4,1382314,821158,2023-07-22,2032-01-20,0,0,2,90,0,0,5,4
2,1,6503806,1810184,2020-09-24,2026-08-09,0,0,2,55,0,0,1,1
4,3,9912314,9286202,2021-06-21,2027-08-30,1,0,4,53,0,0,5,4
0,3,9879668,646723,2020-08-27,2034-01-03,3,0,8,77,0,0,5,4
0,6,543334,96004,2023-11-29,2034-08-06,1,0,8,62,0,0,4,1
3,5,8785170,1198556,2023-10-20,2025-07-23,3,0,9,93,0,0,5,4
3,1,3254457,204683,2022-01-16,2033-02-20,2,0,1,52,0,0,5,4
1,0,8542778,1779913,2022-10-15,2032-05-21,3,0,7,64,0,0,5,4
1,2,2714533,1658550,2023-12-08,2033-06-09,0,0,3,50,0,0,5,4
1,0,8408514,3314967,2023-10-20,2033-09-29,2,0,6,61,0,1,3,1
2,7,5816782,4105133,2020-12-29,2027-11-10,2,0,5,94,0,0,5,4
0,4,9328562,5922566,2023-06-22,2026-06-13,1,0,10,77,0,0,4,2
4,6,6834727,5137964,2022-01-01,2030-02-09,0,0,4,89,0,1,5,4
0,5,1523710,350320,2020-06-06,2030-03-09,0,0,0,58,0,0,5,4
5,3,9431146,1322749,2021-07-03,2034-09-12,0,0,2,75,0,0,5,4
2,7,9932353,7533529,2024-10-09,2028-11-02,0,0,7,86,0,0,3,0
1,2,4440144,644619,2023-02-21,2029-05-24,2,0,0,54,0,0,5,4
0,2,6610623,3102737,2023-12-31,2025-10-07,0,0,6,92,0,0,5,4
5,2,9980175,8182340,2025-02-19,2027-12-26,1,0,7,52,0,0,5,4
1,2,3582488,2006751,2022-08-10,2030-09-01,0,0,2,86,0,1,5,4
1,2,4728572,1797282,2025-03-09,2025-11-02,2,0,3,74,0,0,5,4
0,4,885862,223462,2020-05-14,2026-08-22,2,0,0,76,0,1,5,4
3,1,8960350,2784398,2024-07-02,2034-12-22,1,0,3,98,0,0,5,4
0,3,1440194,125395,2023-04-04,2032-01-31,2,0,0,51,0,0,5,4
2,4,5164925,3294229,2024-07-31,2029-09-02,2,0,8,93,0,1,5,4
2,5,7047344,5026834,2020-04-20,2026-11-17,2,0,7,100,0,0,2,3
3,2,4717042,2444004,2021-06-16,2033-05-21,3,0,6,72,0,0,5,4
0,6,3976524,1769272,2020-09-05,2031-07-25,2,0,3,66,0,0,5,4
5,6,7099362,4508286,2024-03-21,2030-07-20,1,0,0,63,0,1,5,4
4,7,1790651,1673963,2022-12-15,2027-08-13,0,0,6,97,0,0,5,4
0,3,628238,534988,2020-06-20,2027-11-25,3,0,1,51,0,0,5,4
5,6,1780388,1655149,2021-04-30,2030-03-20,3,0,7,77,0,0,3,0
5,4,8945912,1389529,2023-12-31,2030-09-18,3,0,3,88,0,1,5,4
4,7,7193077,1503193,2024-08-30,2026-01-04,3,0,10,68,0,0,1,3
5,3,5353168,103620,2020-12-11,2034-12-09,3,0,5,100,0,0,5,4
5,7,8963295,7553643,2022-04-30,2034-10-30,0,0,4,69,1,0,2,2
3,6,5922735,207892,2021-08-03,2030-08-30,2,0,8,84,0,1,3,3
1,2,2111832,1772062,2021-11-07,2034-08-26,0,0,0,70,0,0,4,0
2,6,702466,123255,2024-03-17,2028-11-14,2,0,5,51,0,0,2,2
5,3,7501186,7412501,2022-10-31,2030-09-25,3,1,7,94,0,0,1,0
2,2,9377821,6012195,2023-03-26,2025-10-10,2,1,6,67,0,0,5,4
5,2,2118028,1149984,2024-02-27,2027-04-23,1,0,5,53,0,0,0,1
4,7,8241395,1566499,2023-10-28,2033-01-09,3,0,4,80,0,0,5,4
5,4,2889600,673329,2022-11-21,2025-06-29,0,0,2,81,0,0,5,4
3,0,3605687,1200701,2022-09-02,2034-04-08,3,0,4,82,0,0,5,4
5,0,2606079,1715937,2022-07-21,2028-05-22,1,0,7,63,0,0,5,4
1,6,1257420,717075,2022-03-14,2027-10-24,2,0,1,92,0,0,1,1
2,4,2523789,953324,2023-03-23,2029-02-02,3,0,7,89,0,0,5,4
5,0,4400694,3636431,2024-12-04,2027-08-07,3,0,4,73,0,0,5,4
4,5,3369884,858365,2025-02-19,2033-08-05,0,1,1,79,0,0,5,4
0,4,251856,163255,2022-05-14,2032-11-22,0,0,8,83,0,0,5,4
3,4,2032745,675097,2023-10-19,2035-03-20,1,0,4,61,0,1,5,4
3,5,1436033,1305773,2020-09-02,2029-05-23,0,0,0,71,0,0,5,4
2,0,8191420,5107587,2021-08-27,2026-06-03,1,0,7,74,0,0,5,4
3,4,3323647,3119992,2021-08-21,2033-07-19,0,0,5,51,0,0,5,4
5,6,5161374,1189848,2022-02-16,2025-09-12,0,1,3,72,0,0,5,4
4,6,5244601,3608337,2023-05-26,2029-02-22,0,1,8,68,0,0,5,4
5,0,1562867,628271,2021-11-05,2034-05-13,1,0,9,66,0,0,5,4
5,3,3636946,2824895,2022-08-26,2028-01-16,0,1,9,60,0,1,4,1
4,4,9110430,3394156,2022-04-29,2028-05-06,2,0,8,78,0,0,5,4
4,4,6173754,5162831,2020-11-09,2034-02-21,0,0,5,52,0,1,5,4
5,2,7324272,5022063,2022-09-20,2029-11-15,3,0,2,73,0,0,1,1
4,7,2914864,2758806,2021-08-24,2031-10-31,2,0,1,68,0,0,5,4
3,7,3509827,3401242,2023-01-23,2025-04-27,2,0,1,61,0,0,1,2
2,5,158051,103812,2024-09-12,2032-04-12,1,0,5,60,0,0,5,4
2,2,8575718,3001585,2025-02-28,2031-11-23,3,1,6,96,0,0,5,4
5,1,9247018,8574438,2024-07-07,2026-06-28,1,1,6,67,0,0,4,0
0,0,3788252,1445330,2020-11-24,2032-09-23,3,1,7,87,0,0,2,0
0,7,1812642,403087,2020-09-10,2028-01-28,1,0,7,98,0,0,2,1
1,0,6739024,1944746,2023-12-03,2031-10-18,2,0,3,63,0,0,5,4
2,1,7914697,7002788,2022-06-27,2032-09-21,0,0,9,54,0,0,4,3
3,2,1273802,1266853,2023-03-10,2032-09-05,2,0,4,95,0,0,1,0
2,1,8369635,493733,2021-10-01,2028-02-01,0,1,9,88,0,0,5,4
4,0,3343236,1085967,2024-10-20,2025-03-31,1,0,1,61,0,0,5,4
